stop_id,stop_code,stop_name,stop_lat,stop_lon
26,25114,"KSIĘŻE MAŁE",51.0778430800,17.0836356900
40,12102,"Wrocławski Park Przemysłowy",51.1125666800,16.9942315400
43,20923,"PL. GRUNWALDZKI",51.1121887100,17.0633575200
46,227911,"KRZYŻANOWICE",51.1740924200,17.0488776800
52,29537,"Starodębowa",51.1673054900,17.1059007000
63,18354,"Brzezińska",51.1494362300,16.8666373500
77,18374,"Polkowicka",51.1552629200,16.8730698200
78,18373,"Polkowicka",51.1554325000,16.8734630700
80,18372,"Wolska",51.1469110000,16.8693790000
81,18129,"Park Stabłowicki",51.1596774500,16.8936900200
82,18130,"Park Stabłowicki",51.1601889800,16.8937057100
87,18123,"Śnieżna",51.1496842800,16.8793580400
88,18124,"Śnieżna",51.1495061000,16.8789305100
89,18121,"Jeleniogórska",51.1456283400,16.8760243800
90,18122,"Jeleniogórska",51.1463271400,16.8763926900
96,18703,"Wełniana",51.1611804100,16.9044891100
101,18718,"Zbożowa",51.1735297900,16.9121521600
102,18719,"Zbożowa",51.1734183300,16.9129409600
125,12711,"Kolista",51.1327370900,16.9738810400
127,12702,"Kolista",51.1326958400,16.9726114600
138,18142,"Złotnicka",51.1432804900,16.8890339100
148,18318,"Miodowa",51.1351482500,16.8487416100
160,17717,"Kośnego",51.1207106000,16.8640121100
181,17702,"Szczecińska",51.1224508500,16.9309962300
182,17701,"Szczecińska",51.1225505800,16.9307786400
192,12502,"Park Zachodni",51.1287913400,16.9728665600
193,12501,"Park Zachodni",51.1298533300,16.9709380000
200,12517,"Hynka",51.1224620800,16.9621544900
201,12518,"Hynka",51.1223775500,16.9616045600
204,12511,"Na Ostatnim Groszu",51.1231804900,16.9750780800
206,12513,"Orlińskiego",51.1221205200,16.9719204400
207,12514,"Orlińskiego",51.1225167500,16.9729111300
222,10519,"POPOWICE (Stacja kolejowa)",51.1260957700,17.0035840400
229,10514,"Szczepin",51.1170944100,17.0079669000
230,10513,"Szczepin",51.1177204600,17.0075345100
242,10501,"PL. JANA PAWŁA II",51.1121544100,17.0207247200
255,32109,"Nowy Dwór",51.1124566500,16.9607992200
29,21101,"Dyrekcyjna",51.0943013600,17.0322290900
30,10381,"pl. Orląt Lwowskich",51.1071331900,17.0193938800
44,23541,"POŚWIĘCKA (Ośrodek zdrowia)",51.1564994400,17.0320980800
